drugID,medication,adrID,n11,n10,n01,n00,relevance
780,1 25-dihydroxyvitamin d3,a0,2,17,728,6513,0
263,2-propanol,a0,0,1,730,6529,0
296,3-keto-desogestrel,a0,0,1,730,6529,0
703,4-aminopyridine,a0,0,6,730,6524,1
261,5-azacytidine,a0,0,1,730,6529,2
75,6-aminocaproic acid,a0,31,175,699,6355,3
167,6-mercaptopurine,a0,1,2,729,6528,1
696,9-hydroxyrisperidone,a0,0,6,730,6524,1
478,abacavir,a0,1,5,729,6525,2
333,abatacept,a0,0,1,730,6529,2
682,abciximab,a0,0,6,730,6524,0
355,abiraterone,a0,0,1,730,6529,0
614,acamprosate,a0,0,4,730,6526,2
135,acarbose,a0,1,1,729,6529,0
1055,acellular pertussis vaccine,a0,4,62,726,6468,0
1317,acetaminophen,a0,526,5342,204,1188,1
876,acetazolamide,a0,4,33,726,6497,2
522,acetic acid,a0,0,3,730,6527,0
543,acetic acid glacial,a0,0,3,730,6527,0
546,acetic acid product,a0,0,3,730,6527,0
308,acetohydroxamic acid,a0,0,1,730,6529,1
42,acetylcysteine,a0,31,157,699,6373,0
716,activated charcoal,a0,1,10,729,6520,0
17,acyclovir,a0,80,494,650,6036,3
714,adalimumab,a0,1,10,729,6520,0
821,adenosine,a0,8,53,722,6477,0
819,adenosine preparation,a0,8,53,722,6477,0
247,ado-trastuzumab emtansine,a0,0,1,730,6529,0
221,albendazole,a0,0,1,730,6529,0
6,albumin human,a0,121,665,609,5865,1
583,albuterol,a0,203,1574,527,4956,1
412,alcohol,a0,0,2,730,6528,0
428,alcohol ethyl,a0,0,2,730,6528,0
259,alcohol isopropyl,a0,0,1,730,6529,0
21,aldesleukin,a0,11,7,719,6523,5
120,alemtuzumab,a0,1,0,729,6530,2
1088,alendronate,a0,1,54,729,6476,0
675,allium sativum extract,a0,1,9,729,6521,0
1090,allopurinol,a0,18,168,712,6362,2
209,alogliptin,a0,0,1,730,6529,1
312,alpha-1-proteinase inhibitor human,a0,0,1,730,6529,0
1235,alprazolam,a0,57,589,673,5941,0
63,alteplase,a0,90,625,640,5905,2
62,alteplase recombinant,a0,90,625,640,5905,2
1275,aluminum (as hydroxide),a0,213,1977,517,4553,0
1274,aluminum hydroxide,a0,213,1977,517,4553,0
650,alvimopan,a0,0,5,730,6525,0
931,amantadine,a0,4,38,726,6492,1
186,ambrisentan,a0,2,6,728,6524,0
176,amikacin,a0,3,9,727,6521,2
366,amiloride,a0,2,7,728,6523,1
74,aminocaproic acid,a0,31,175,699,6355,3
989,aminophylline,a0,5,51,725,6479,0
15,amiodarone,a0,66,378,664,6152,2
1223,amitriptyline,a0,24,307,706,6223,0
1227,amlodipine,a0,75,709,655,5821,0
195,ammonia,a0,1,3,729,6527,0
1077,amoxicillin,a0,17,159,713,6371,1
1051,amphetamine,a0,2,48,728,6482,0
81,amphotericin b,a0,3,2,727,6528,5
35,amphotericin b lipid complex,a0,10,11,720,6519,5
34,amphotericin b liposome,a0,10,11,720,6519,5
41,ampicillin,a0,31,154,699,6376,2
319,amyl nitrite,a0,0,1,730,6529,0
1160,amylase,a0,10,129,720,6401,0
1156,amylase preparation,a0,10,129,720,6401,0
1155,amylases,a0,10,129,720,6401,0
638,anastrozole,a0,3,17,727,6513,0
24,antidiuretic hormone,a0,14,24,716,6506,5
137,antihemophilic factor,a0,1,1,729,6529,0
408,antipyrine,a0,0,2,730,6528,0
117,antithrombin iii,a0,1,0,729,6530,0
115,antithrombin iii preparation,a0,1,0,729,6530,0
479,apixaban,a0,1,5,729,6525,1
272,apple cider vinegar,a0,0,1,730,6529,0
671,aprepitant,a0,4,23,726,6507,0
665,arformoterol,a0,0,5,730,6525,0
610,argatroban,a0,0,4,730,6526,0
304,arginine,a0,0,1,730,6529,0
1089,aripiprazole,a0,5,79,725,6451,0
521,armodafinil,a0,0,3,730,6527,0
1251,ascorbic acid,a0,32,407,698,6123,0
598,asenapine,a0,0,4,730,6526,0
871,aspart insulin,a0,233,1841,497,4689,1
1236,aspirin,a0,195,1717,535,4813,2
760,atazanavir,a0,2,16,728,6514,0
1134,atenolol,a0,10,124,720,6406,1
601,atomoxetine,a0,0,4,730,6526,0
755,atorvastatin,a0,71,510,659,6020,0
367,atovaquone,a0,2,7,728,6523,2
38,atropine,a0,73,468,657,6062,0
474,avacavir (abacavir?),a0,1,5,729,6525,0
430,axitinib,a0,0,2,730,6528,0
217,azacitidine,a0,0,1,730,6529,2
624,azathioprine,a0,8,44,722,6486,1
192,azelastine,a0,2,6,728,6524,0
999,azithromycin,a0,19,146,711,6384,2
706,aztreonam,a0,4,24,726,6506,1
1258,bacitracin,a0,42,528,688,6002,2
1259,bacitracin product,a0,42,528,688,6002,2
1202,baclofen,a0,22,268,708,6262,1
541,balsalazide,a0,0,3,730,6527,2
511,balsam of peru,a0,0,3,730,6527,0
54,basiliximab,a0,6,7,724,6523,4
863,beclomethasone,a0,5,38,725,6492,0
862,beclomethasone preparation,a0,5,38,725,6492,0
485,belladonna alkaloid,a0,4,18,726,6512,0
484,belladonna alkaloids,a0,4,18,726,6512,0
669,benazepril,a0,2,13,728,6517,2
1179,benzocaine,a0,17,195,713,6335,0
389,benzoin compound,a0,0,2,730,6528,0
1074,benzonatate,a0,13,129,717,6401,0
700,benzoyl peroxide,a0,0,6,730,6524,0
683,benzoyl peroxide product,a0,0,6,730,6524,0
1076,benztropine,a0,3,64,727,6466,0
380,benzylpenicillin sodium,a0,1,4,729,6526,2
347,bepotastine,a0,0,1,730,6529,0
664,beta carotene,a0,0,5,730,6525,0
655,beta-carotene,a0,0,5,730,6525,0
653,beta-carotene product,a0,0,5,730,6525,0
905,betamethasone,a0,3,29,727,6501,0
906,betamethasone preparation,a0,3,29,727,6501,0
349,betaxolol,a0,0,1,730,6529,1
901,bethanechol,a0,0,14,730,6516,0
550,bevacizumab,a0,0,3,730,6527,3
325,bexarotene,a0,0,1,730,6529,0
684,bicalutamide,a0,0,6,730,6524,0
427,bilberry,a0,0,2,730,6528,0
405,bilberry extract,a0,0,2,730,6528,0
85,bimatoprost,a0,3,3,727,6527,0
842,biotin,a0,1,16,729,6514,0
843,biotin preparation,a0,1,16,729,6514,0
1323,bisacodyl,a0,215,2690,515,3840,0
886,bismuth subsalicylate,a0,1,18,729,6512,0
680,bisoprolol,a0,2,14,728,6516,1
962,bivalirudin,a0,2,30,728,6500,2
464,black cohosh,a0,0,2,730,6528,0
456,black cohosh extract,a0,0,2,730,6528,0
654,bleomycin,a0,0,5,730,6525,2
255,boceprevir,a0,0,1,730,6529,0
632,bortezomib,a0,1,8,729,6522,2
831,bosentan,a0,0,11,730,6519,0
128,brimonidine,a0,4,11,726,6519,0
113,brinzolamide,a0,1,0,729,6530,1
811,bromocriptine,a0,0,10,730,6520,0
262,brompheniramine,a0,0,1,730,6529,0
1032,budesonide,a0,20,162,710,6368,0
182,bumetanide,a0,6,24,724,6506,1
1285,bupivacaine,a0,45,671,685,5859,0
555,buprenorphine,a0,2,10,728,6520,0
1249,bupropion,a0,9,231,721,6299,1
1073,buspirone,a0,5,75,725,6455,0
